cell_type_ontology_term_id	count
CL:0000540	5187927
CL:0000679	1889047
CL:0000128	1843917
CL:0000624	1510892
CL:0000625	1440552
CL:0000860	1349543
CL:0000235	1333574
CL:0000057	1298708
CL:4023040	1229658
CL:0000003	1224679
CL:0000623	1176704
CL:0000236	1065112
CL:0000084	972291
CL:0000127	892996
CL:0000895	877638
CL:0000576	847343
CL:0001064	797557
CL:0000746	739411
CL:0000583	692246
CL:0000115	604731
CL:0000904	550319
CL:0008034	545511
CL:0000617	527259
CL:0011026	483035
CL:4030006	463461
CL:0002063	452428
CL:0000066	452099
CL:0001054	423896
CL:0002453	423299
CL:0002097	410019
CL:0002326	388279
CL:0000232	385968
CL:0000121	370751
CL:0000129	363182
CL:0002555	356063
CL:0000499	346653
CL:0002548	337563
CL:0000788	334489
CL:0000939	325718
CL:0002144	324805
CL:0000786	322993
CL:0000900	312729
CL:0000913	300508
CL:0000809	296386
CL:0000071	293869
CL:0000669	293283
CL:0000604	276144
CL:0000878	273311
CL:0000584	268815
CL:0002057	261782
CL:0000646	261568
CL:0000791	260726
CL:0008019	259990
CL:0000909	252767
CL:0002131	250578
CL:0000787	244076
CL:0000815	238096
CL:0002306	233176
CL:0000875	219221
CL:0002633	201579
CL:0000763	197491
CL:0002489	190788
CL:4023016	189656
CL:0000498	184813
CL:0000151	180198
CL:0002543	176008
CL:0000451	174673
CL:0000492	169938
CL:0000798	165408
CL:4023018	163758
CL:0002419	156203
CL:0002145	148299
CL:1001106	145610
CL:0000561	144952
CL:0002632	142285
CL:0000097	141293
CL:0002341	135120
CL:0000897	134273
CL:0000794	125903
CL:0002605	124494
CL:0000359	123853
CL:0002139	121776
CL:0000192	118623
CL:0000775	116602
CL:0000861	116551
CL:4023011	116090
CL:0000905	116004
CL:0002399	114899
CL:0000158	114370
CL:0002138	114175
CL:0000120	113617
CL:0000186	113443
CL:0000501	112918
CL:0000125	110233
CL:0002480	108192
CL:4023017	108028
CL:0001050	99220
CL:0002179	94899
CL:0000990	93411
CL:0000034	92561
CL:0000814	84700
CL:0000222	83941
CL:0005012	80031
CL:0000636	79350
CL:0000123	79325
CL:1000413	77582
CL:0000940	77154
CL:0000556	76631
CL:0000082	76407
CL:0002062	75469
CL:0000122	75294
CL:0000738	74855
CL:0000160	74770
CL:0000216	73268
CL:0000748	72958
CL:0000893	72896
CL:0005026	72848
CL:0000542	71940
CL:0010011	71854
CL:0000784	70894
CL:0002563	70542
CL:0002396	70039
CL:1000329	69875
CL:0000233	67363
CL:0000134	67006
CL:0002553	66570
CL:0001063	66416
CL:0000513	66335
CL:0000182	66264
CL:0002324	65962
CL:0000555	65674
CL:0000765	64475
CL:0002038	64385
CL:0000212	63161
CL:0009010	62459
CL:0000938	59896
CL:0000987	59581
CL:0000079	56967
CL:0002252	56720
CL:0000749	56680
CL:0000650	55774
CL:1001431	55421
CL:0000934	54059
CL:0000081	53817
CL:0000822	53076
CL:0000980	52188
CL:0002094	49910
CL:0019026	49591
CL:0000789	48664
CL:0013000	48079
CL:0002129	47087
CL:0000750	46934
CL:0000740	45828
CL:0000077	45657
CL:0001065	44780
CL:0000064	43656
CL:0002132	43510
CL:4028004	43510
CL:1000347	43157
CL:0000818	43153
CL:0010008	42334
CL:0002504	41600
CL:0000559	40676
CL:4023015	40362
CL:0000906	39428
CL:4028006	38250
CL:1000849	38183
CL:0000312	37972
CL:4023012	37134
CL:0001062	37111
CL:1001432	36999
CL:0000907	36925
CL:0000988	36924
CL:0000037	35503
CL:0000169	35373
CL:0000826	35194
CL:0002327	35147
CL:0000171	34813
CL:0000148	34767
CL:0002064	34284
CL:0000126	34090
CL:0000813	33169
CL:4023013	32836
CL:1000348	32681
CL:0000957	32496
CL:1000692	31803
CL:0000573	31633
CL:0000575	31540
CL:0000050	30983
CL:0000630	30009
CL:4023038	29572
CL:0001082	28875
CL:1001568	28798
CL:0002187	28664
CL:1000768	28586
CL:0010003	28528
CL:0000091	28412
CL:0002340	28036
CL:0001071	27775
CL:0000837	27408
CL:0019019	27054
CL:0000529	27000
CL:0000651	26945
CL:0000896	26855
CL:0000649	26321
CL:0019029	26268
CL:0000745	26213
CL:0000166	26199
CL:0000915	25731
CL:0000954	25711
CL:0000136	25628
CL:0002627	25411
CL:0001203	25348
CL:0000644	25227
CL:0011020	25195
CL:0000890	25119
CL:0000038	24335
CL:1000296	23634
CL:1000449	23259
CL:0019028	23168
CL:0000817	23004
CL:0000706	23002
CL:0002079	22863
CL:0019031	22676
CL:0000863	22595
CL:0002518	22368
CL:0000972	22083
CL:0000810	22022
CL:1001111	21687
CL:2000093	21545
CL:1000443	21468
CL:0002045	21060
CL:0000188	20958
CL:0000622	20569
CL:2000006	20505
CL:0002623	20294
CL:0002048	19924
CL:4023036	19786
