tissue_general_ontology_term_id	count
UBERON:0000955	16053285
UBERON:0000178	9732410
UBERON:0002048	5975910
UBERON:0000948	3125211
UBERON:0000310	2466739
UBERON:0002107	1521180
UBERON:0002113	1222687
UBERON:0000970	1122467
UBERON:0002108	1086539
UBERON:0002368	946003
UBERON:0001004	742783
UBERON:0002106	717037
UBERON:0000029	670609
UBERON:0001155	660976
UBERON:0002371	653647
UBERON:0000990	595470
UBERON:0002369	548815
UBERON:0002097	504384
UBERON:0000004	470445
UBERON:0000945	446348
UBERON:0000995	421053
UBERON:0003688	358095
UBERON:0002367	332289
UBERON:0000992	287866
UBERON:0003889	283737
UBERON:0000160	237847
UBERON:0001264	231994
UBERON:0001043	215951
UBERON:0000059	215023
UBERON:0001015	187415
UBERON:0007795	185382
UBERON:0001007	179324
UBERON:0001040	169725
UBERON:0002358	145909
UBERON:0001013	114233
UBERON:0001987	105904
UBERON:0002405	89046
UBERON:0000922	79012
UBERON:0002365	77148
UBERON:0002240	72448
UBERON:0001087	70183
UBERON:0000916	58962
UBERON:0018707	58214
UBERON:0000030	45230
UBERON:0002049	43235
UBERON:0001723	30040
UBERON:0007650	29105
UBERON:0000344	26060
UBERON:0002100	23646
UBERON:0009472	19792
UBERON:0000977	19695
UBERON:0000403	19408
UBERON:0001434	14680
UBERON:0001836	14502
UBERON:0001366	14401
UBERON:0000473	13211
UBERON:0035210	12358
UBERON:0003697	9899
UBERON:0002110	9769
UBERON:0001255	7602
UBERON:0000056	2390
