tissue_ontology_term_id	count
UBERON:0000178	9685538
UBERON:0002048	4708729
UBERON:0000956	2762613
UBERON:0002771	2453710
UBERON:0000310	2435043
UBERON:0001893	2182619
UBERON:0002037	1756804
UBERON:0002107	1381633
UBERON:0002084	1234399
UBERON:8440012	1197544
UBERON:0008946	1080100
UBERON:0002370	933356
UBERON:0010225	817059
UBERON:0002421	790129
UBERON:0000955	736824
UBERON:0002106	717037
UBERON:0002113	682436
UBERON:0001005	668453
UBERON:0002371	653647
UBERON:0001891	620066
UBERON:0002080	612914
UBERON:0000991	570488
UBERON:0002094	562763
UBERON:0002369	547539
UBERON:0000988	505463
UBERON:0002097	459993
UBERON:0002116	448241
UBERON:0000029	423304
UBERON:0002108	401531
UBERON:0001225	374633
UBERON:0003688	358095
UBERON:0001161	343207
UBERON:0001898	293133
UBERON:0036292	279979
UBERON:0000004	271577
UBERON:0002098	254608
UBERON:0000966	252527
UBERON:0001786	238446
UBERON:0000160	221232
UBERON:0000451	218183
UBERON:0005290	209109
UBERON:0001707	198868
UBERON:0001155	198421
UBERON:8410025	191641
UBERON:0013682	188645
UBERON:0007795	185382
UBERON:0000328	174738
UBERON:0001040	169725
UBERON:0000059	160680
UBERON:0002079	148712
UBERON:0002358	145909
UBERON:0002811	142895
UBERON:0001117	139547
UBERON:0000948	137624
UBERON:0001890	132056
UBERON:0007644	125042
UBERON:0002119	123691
UBERON:0000362	123221
UBERON:0000006	119583
UBERON:0000995	119302
UBERON:0002661	112488
UBERON:0002118	110424
UBERON:0002810	109363
UBERON:0001384	109064
UBERON:0001871	105048
UBERON:0002436	103518
UBERON:0002822	102332
UBERON:0016530	94443
UBERON:0002372	89046
UBERON:0001976	87947
UBERON:0002808	87919
UBERON:0002078	86098
UBERON:0001264	85417
UBERON:0002509	84015
UBERON:0016525	83790
UBERON:8410010	80507
UBERON:0001157	78955
UBERON:0002728	75461
UBERON:8410026	74403
UBERON:0008345	74058
UBERON:0008972	73904
UBERON:0003889	73896
UBERON:0002240	72448
UBERON:0000970	71962
UBERON:0000175	70183
UBERON:0013473	66785
UBERON:0016632	66411
UBERON:0002367	66245
UBERON:0001987	65392
UBERON:0008933	64786
UBERON:0001630	64677
UBERON:0016538	63920
UBERON:0001769	63771
UBERON:0012648	62923
UBERON:0002114	62633
UBERON:0001159	59332
UBERON:0000916	58962
UBERON:0018707	58214
UBERON:0002299	57747
UBERON:0002803	56830
UBERON:0001162	56213
UBERON:0000397	55849
UBERON:0000400	54096
UBERON:0000992	53751
UBERON:0001872	53269
UBERON:0007177	50290
UBERON:0003126	49980
UBERON:0000964	49908
UBERON:0001156	48014
UBERON:0001153	47328
UBERON:0002809	45482
UBERON:0000030	45230
UBERON:0004026	43487
UBERON:0001052	43479
UBERON:0014454	42946
UBERON:0000945	42900
UBERON:0001831	42006
UBERON:0001775	41644
UBERON:0006761	41152
UBERON:0001228	40676
UBERON:0002450	40512
UBERON:0036288	36574
UBERON:0008954	35284
UBERON:0005969	34784
UBERON:0004648	34173
UBERON:0002170	32099
UBERON:0035328	31696
UBERON:0001388	30877
UBERON:0014455	29389
UBERON:0012168	29247
UBERON:0007650	29105
UBERON:0001103	28709
UBERON:0000344	26060
UBERON:0004024	25627
UBERON:0001332	24982
UBERON:0008971	24809
UBERON:0000017	23954
UBERON:0002382	23796
UBERON:0002100	23646
UBERON:0002807	22796
UBERON:0001911	22750
UBERON:0001013	22114
UBERON:8410000	21592
UBERON:0001158	20147
UBERON:0009472	19792
UBERON:0002190	19784
UBERON:0000977	19695
UBERON:0000403	19408
UBERON:0010033	18934
UBERON:0035213	18775
UBERON:0008953	17854
UBERON:0013756	17625
UBERON:0001542	17366
UBERON:0002185	17122
UBERON:0000947	16768
UBERON:0012474	16615
UBERON:0002081	16558
UBERON:0039167	16527
UBERON:0001043	16080
UBERON:0008612	15650
UBERON:0000014	15457
UBERON:0001836	14502
UBERON:0001366	14401
UBERON:0009834	14142
UBERON:0000965	13900
UBERON:0000473	13211
UBERON:0002167	12880
UBERON:0002046	12647
UBERON:0002115	12473
UBERON:0001832	12392
UBERON:0035210	12358
UBERON:0002378	12284
UBERON:0000053	12172
UBERON:0005616	11243
UBERON:0008989	10966
UBERON:0001154	10864
UBERON:0010032	10734
UBERON:0008952	10113
UBERON:0003697	9899
UBERON:0007106	9898
UBERON:0002110	9769
UBERON:0002385	9762
UBERON:0001621	9734
UBERON:0001637	9652
UBERON:0002168	9276
UBERON:0001003	9051
UBERON:0002420	9000
UBERON:0002021	8799
UBERON:0000002	8096
UBERON:0001238	8019
UBERON:0002171	7981
UBERON:0001295	7626
UBERON:0001255	7602
UBERON:0009835	7417
UBERON:0001901	7228
UBERON:0002082	6452
UBERON:0001296	6050
UBERON:0002228	5992
UBERON:0004167	5874
UBERON:0002067	5746
UBERON:0002049	5572
UBERON:0001511	5327
UBERON:0004339	5129
UBERON:0001868	4796
UBERON:0001046	4586
UBERON:0002429	4355
UBERON:0001811	4168
UBERON:0001165	4028
UBERON:0001416	4014
UBERON:0001902	3896
UBERON:0002174	3847
UBERON:0013706	3559
UBERON:0000016	3040
UBERON:0001773	2862
UBERON:0000056	2390
UBERON:0007625	2348
UBERON:0022277	2273
UBERON:0001134	1660
UBERON:0005636	1654
UBERON:0001224	1578
UBERON:0003902	1350
UBERON:0023852	1343
UBERON:0018303	1276
UBERON:0001817	496
UBERON:0001723	372
UBERON:0002802	326
UBERON:0003517	143
