cell_type	count
neuron	8112995
L2/3-6 intratelencephalic projecting glutamatergic neuron	3692924
oligodendrocyte	2837361
glutamatergic neuron	1957345
CD4-positive, alpha-beta T cell	1617158
unknown	1571014
fibroblast	1558625
macrophage	1556982
CD8-positive, alpha-beta T cell	1505179
classical monocyte	1423450
natural killer cell	1333257
B cell	1145436
astrocyte	1131864
retinal rod cell	1013854
naive thymus-derived CD4-positive, alpha-beta T cell	956401
malignant cell	850826
endothelial cell	835868
fibroblast of mammary gland	833781
central memory CD4-positive, alpha-beta T cell	782999
cardiac muscle cell	746616
luminal adaptive secretory precursor cell of mammary gland	735351
alveolar macrophage	726598
T cell	645633
oligodendrocyte precursor cell	625785
CD14-positive monocyte	589521
microglial cell	587981
pvalb GABAergic cortical interneuron	561072
neural cell	552465
vip GABAergic cortical interneuron	539534
GABAergic neuron	537813
luminal hormone-sensing cell of mammary gland	530085
monocyte	514649
stromal cell	497653
epithelial cell	494679
GABAergic amacrine cell	493316
type II pneumocyte	480024
sst GABAergic cortical interneuron	478965
mural cell	457486
naive B cell	450104
Purkinje cell	438663
basal cell	419368
capillary endothelial cell	415415
cortical cell of adrenal gland	410019
vein endothelial cell	409521
plasma cell	398429
erythrocyte	397859
regular ventricular cardiac myocyte	393506
perivascular cell	384122
effector memory CD8-positive, alpha-beta T cell	381014
epithelial cell of proximal tubule	380360
naive thymus-derived CD8-positive, alpha-beta T cell	375929
pericyte	365141
lamp5 GABAergic cortical interneuron	362110
astrocyte of the cerebral cortex	348539
fibroblast of cardiac tissue	337813
CD16-positive, CD56-dim natural killer cell, human	327576
myoepithelial cell of mammary gland	310085
luminal epithelial cell of mammary gland	307826
myeloid cell	305234
CD8-positive, alpha-beta memory T cell	298600
double-positive, alpha-beta thymocyte	296392
regulatory T cell	277932
central nervous system macrophage	275875
memory B cell	271869
enterocyte	268815
mesenchymal cell	263329
CD14-positive, CD16-negative classical monocyte	261782
mature alpha-beta T cell	260726
Mueller cell	251729
kidney loop of Henle thick ascending limb epithelial cell	243151
non-classical monocyte	236609
amacrine cell	230532
retinal bipolar neuron	211571
respiratory basal cell	201579
CD4-positive helper T cell	200891
double negative thymocyte	196983
inhibitory interneuron	196825
glycinergic amacrine cell	193548
flat midget bipolar cell	190135
blood vessel endothelial cell	187951
midget ganglion cell of retina	185398
secretory cell	184490
dendritic cell	182243
endothelial cell of artery	176781
endothelial cell of lymphatic vessel	174269
gamma-delta T cell	173160
mature NK T cell	170110
corticothalamic-projecting glutamatergic cortical neuron	169394
endothelial cell of vascular tree	165750
rod bipolar cell	158776
vascular associated smooth muscle cell	158679
mast cell	157993
mature T cell	156203
ciliated columnar cell of tracheobronchial tree	148299
periportal region hepatocyte	146963
neutrophil	143486
epithelial cell of lower respiratory tract	142285
CD4-positive, alpha-beta memory T cell	138766
basal cell of prostate epithelium	138418
skin fibroblast	132888
smooth muscle cell	132349
endothelial tip cell	130451
myofibroblast cell	129804
CD8-positive, alpha-beta cytotoxic T cell	127234
conventional dendritic cell	126688
effector memory CD4-positive, alpha-beta T cell	126062
placental villous trophoblast	123754
club cell	120784
mucosal invariant T cell	120705
L6b glutamatergic cortical neuron	120422
granule cell	120344
near-projecting glutamatergic cortical neuron	118877
sncg GABAergic cortical interneuron	118772
CD1c-positive myeloid dendritic cell	118710
mesothelial cell	118471
elicited macrophage	116551
glial cell	116154
kidney collecting duct principal cell	114684
granulosa cell	112918
nasal mucosa goblet cell	110999
invaginating midget bipolar cell	109921
progenitor cell	106790
keratinocyte	105814
preadipocyte	104964
retinal cone cell	102253
mammary gland epithelial cell	101696
effector CD8-positive, alpha-beta T cell	99630
lymphocyte	98682
diffuse bipolar 2 cell	96248
foveolar cell of stomach	94899
stem cell	92705
CD14-low, CD16-positive monocyte	87379
mesodermal cell	84215
syncytiotrophoblast cell	83244
type I pneumocyte	83126
transit amplifying cell	83080
mesenchymal stem cell	82465
fibroblast of lung	82224
adipocyte	81378
multi-ciliated epithelial cell	80614
neuron associated cell (sensu Vertebrata)	79325
plasmacytoid dendritic cell	78207
goblet cell	77433
megakaryocyte	77387
epithelial cell of lung	76407
cerebellar granule cell	75835
stellate neuron	75294
regular atrial cardiac myocyte	73489
thymocyte	73449
Sertoli cell	73268
hepatoblast	72848
cerebral cortex GABAergic interneuron	72449
retinal ganglion cell	71316
platelet	71228
intestinal epithelial cell	70542
diffuse bipolar 1 cell	70506
tracheal goblet cell	69952
IgA plasma cell	69873
hepatocyte	69666
kidney collecting duct intercalated cell	68761
chandelier pvalb GABAergic cortical interneuron	68674
centrilobular region hepatocyte	68081
neoplastic cell	66416
cardiac muscle myoblast	66335
erythroblast	65894
neuronal brush cell	65674
ciliated cell	65478
T follicular helper cell	64783
innate lymphoid cell	63874
absorptive cell	63161
diffuse bipolar 4 cell	62557
CD16-negative, CD56-bright natural killer cell, human	62289
plasmablast	60979
leukocyte	60331
kidney distal convoluted tubule epithelial cell	59551
stratified epithelial cell	56967
epithelial cell of esophagus	56720
ON-bipolar cell	56680
mesangial cell	55774
neural progenitor cell	54542
blood cell	54172
CD4-positive, alpha-beta cytotoxic T cell	54059
central memory CD8-positive, alpha-beta T cell	54050
macroglial cell	53713
kidney interstitial fibroblast	53572
B-2 B cell	53076
Hofbauer cell	52282
helper T cell	51277
diffuse bipolar 3b cell	50484
interstitial cell of ovary	49910
caudal ganglionic eminence derived GABAergic cortical interneuron	48910
pro-B cell	48673
alpha-beta T cell	48664
forebrain radial glial cell	48079
OFF-bipolar cell	46934
abnormal cell	46887
precursor B cell	46412
