development_stage_ontology_term_id	count
HsapDv:0000144	5057258
HsapDv:0000123	4157552
HsapDv:0000136	4086536
unknown	3383848
HsapDv:0000095	3105866
HsapDv:0000052	2812757
HsapDv:0000204	2300819
HsapDv:0000240	2206184
HsapDv:0000241	1919816
HsapDv:0000054	1541740
HsapDv:0000087	1459986
HsapDv:0000049	1275014
HsapDv:0000239	1243876
HsapDv:0000053	1158257
HsapDv:0000153	1053541
HsapDv:0000154	861960
HsapDv:0000242	830446
HsapDv:0000167	827352
HsapDv:0000114	769887
HsapDv:0000238	768091
HsapDv:0000163	734171
HsapDv:0000160	718037
HsapDv:0000050	715696
HsapDv:0000155	699226
HsapDv:0000158	696520
HsapDv:0000208	687682
HsapDv:0000162	540468
HsapDv:0000157	534976
HsapDv:0000159	528955
HsapDv:0000149	520226
HsapDv:0000161	517462
HsapDv:0000140	513417
HsapDv:0000152	502395
HsapDv:0000172	492413
HsapDv:0000164	490547
HsapDv:0000135	490207
HsapDv:0000146	485109
HsapDv:0000129	480670
HsapDv:0000132	456713
HsapDv:0000127	438188
HsapDv:0000147	436355
HsapDv:0000151	436335
HsapDv:0000156	432345
HsapDv:0000169	429836
HsapDv:0000168	427230
HsapDv:0000131	418372
HsapDv:0000212	415533
HsapDv:0000121	414505
HsapDv:0000209	411947
HsapDv:0000206	408636
HsapDv:0000166	408032
HsapDv:0000137	407402
HsapDv:0000046	400893
HsapDv:0000124	390454
HsapDv:0000048	378340
HsapDv:0000130	375628
HsapDv:0000051	375416
HsapDv:0000143	372324
HsapDv:0000142	358502
HsapDv:0000125	355495
HsapDv:0000214	345872
HsapDv:0000150	343952
HsapDv:0000133	340692
HsapDv:0000173	335180
HsapDv:0000139	331807
HsapDv:0000210	325278
HsapDv:0000165	315803
HsapDv:0000141	307219
HsapDv:0000148	306549
HsapDv:0000119	304614
HsapDv:0000207	304323
HsapDv:0000145	297046
HsapDv:0000171	295438
HsapDv:0000115	294913
HsapDv:0000128	289849
HsapDv:0000118	285558
HsapDv:0000099	282698
HsapDv:0000199	279862
HsapDv:0000091	263800
HsapDv:0000134	260716
HsapDv:0000237	244111
HsapDv:0000047	243551
HsapDv:0000027	242525
HsapDv:0000138	238324
HsapDv:0000117	225666
HsapDv:0000101	222718
HsapDv:0000030	222542
HsapDv:0000082	221942
HsapDv:0000170	217329
HsapDv:0000055	215049
HsapDv:0000211	205538
HsapDv:0000097	200325
HsapDv:0000215	197803
HsapDv:0000122	196213
HsapDv:0000059	194341
HsapDv:0000086	190555
HsapDv:0000120	185506
HsapDv:0000088	181372
HsapDv:0000098	169488
HsapDv:0000126	168411
HsapDv:0000029	165204
HsapDv:0000213	164097
HsapDv:0000056	144401
HsapDv:0000083	140714
HsapDv:0000216	134241
HsapDv:0000026	132727
HsapDv:0000057	129689
HsapDv:0000113	129578
HsapDv:0000116	114705
HsapDv:0000089	106037
HsapDv:0000100	104005
HsapDv:0000109	97433
HsapDv:0000092	90601
HsapDv:0000093	80163
HsapDv:0000084	76610
HsapDv:0000096	74426
HsapDv:0000090	74142
HsapDv:0000246	71783
HsapDv:0000062	69754
HsapDv:0000102	68398
HsapDv:0000180	66873
HsapDv:0000106	65399
HsapDv:0000218	65265
HsapDv:0000174	63289
HsapDv:0000025	61000
HsapDv:0000217	59070
HsapDv:0000021	58158
HsapDv:0000020	57247
HsapDv:0000058	56389
HsapDv:0000085	55074
HsapDv:0000179	52973
HsapDv:0000176	49689
HsapDv:0000060	49459
HsapDv:0000202	48889
HsapDv:0000015	46836
HsapDv:0000183	44816
HsapDv:0000111	44575
HsapDv:0000081	44217
HsapDv:0000107	43568
HsapDv:0000024	41296
HsapDv:0000175	40206
HsapDv:0000103	38239
HsapDv:0000243	37838
HsapDv:0000203	34292
HsapDv:0000108	34107
HsapDv:0000198	33296
HsapDv:0000201	30112
HsapDv:0000063	29616
HsapDv:0000104	28898
HsapDv:0000178	28509
HsapDv:0000002	27883
HsapDv:0000177	26214
HsapDv:0000110	26059
HsapDv:0000200	25845
HsapDv:0000094	24468
HsapDv:0000112	20985
HsapDv:0000019	20393
HsapDv:0000068	17026
HsapDv:0000028	16810
HsapDv:0000105	14021
HsapDv:0000222	13926
HsapDv:0000182	13582
HsapDv:0000256	12842
HsapDv:0000016	11104
HsapDv:0000018	10507
HsapDv:0000184	10082
HsapDv:0000023	9354
HsapDv:0000187	8581
HsapDv:0000181	7260
HsapDv:0000080	4636
HsapDv:0000185	4432
HsapDv:0000219	2332
HsapDv:0000192	1570
HsapDv:0000223	976
HsapDv:0000221	930
HsapDv:0000220	867
