disease_ontology_term_id	count
PATO:0000461	55973866
MONDO:0100096	4786711
MONDO:0001627	2104042
MONDO:0018177	1477830
MONDO:0005061	1422977
MONDO:0005021	934441
MONDO:0007915	777258
MONDO:0005011	577191
MONDO:0005300	477200
MONDO:0005097	303260
MONDO:0002771	268932
MONDO:0002492	256320
MONDO:0008433	246800
MONDO:0005233	241592
MONDO:0004975	224670
MONDO:0016587	203291
MONDO:0004989	195773
MONDO:0005005	187792
MONDO:0005002	179974
MONDO:0007763	177503
MONDO:0005068	171909
MONDO:0004947	164901
MONDO:0004976	157968
MONDO:0005180	135344
MONDO:0005027	129905
MONDO:0018906	122702
MONDO:0010811	120984
MONDO:0001056	116329
MONDO:0017276	113957
MONDO:0013433	104667
MONDO:0100320	97224
MONDO:0005087	94987
MONDO:0004335	89849
MONDO:0100190	82152
MONDO:0004966	79882
MONDO:0030885	73797
MONDO:0015925	68456
MONDO:0007488	67466
MONDO:0015517	64759
MONDO:0015759	59746
MONDO:0020804	58637
MONDO:0005565	57445
MONDO:0005530	54399
MONDO:0009693	48052
MONDO:0060782	47354
MONDO:0021115	46128
MONDO:0005494	42420
MONDO:0005388	39994
MONDO:0005076	38520
MONDO:0005812	34549
MONDO:0016691	34291
MONDO:0004849	33011
MONDO:0000709	32458
MONDO:0005249	31923
MONDO:0013662	30715
MONDO:0004514	29137
MONDO:0005828	28237
MONDO:0005989	28098
MONDO:0001943	27958
MONDO:0018874	27852
MONDO:0024660	27270
MONDO:0005418	22656
MONDO:0005147	22400
MONDO:0003050	21167
MONDO:0018071	21066
MONDO:0021116	20403
MONDO:0005148	19262
MONDO:0600025	17798
MONDO:0009061	17590
MONDO:0008608	16743
MONDO:0006156	14573
MONDO:0003825	12610
MONDO:0011705	12374
MONDO:0004970	11483
MONDO:0005301	11208
MONDO:0003573	10765
MONDO:0017853	10379
MONDO:0000265	10204
MONDO:0019622	8597
MONDO:0006249	8359
MONDO:0004781	8033
MONDO:0024661	7216
MONDO:0002508	6587
MONDO:0005575	6215
MONDO:0021178	5983
MONDO:0000819	5499
MONDO:0005453	5046
MONDO:0001708	4886
MONDO:0006058	4636
MONDO:0005252	4594
MONDO:0003004	3922
MONDO:0012883	3734
MONDO:0021113	3335
MONDO:0005129	3205
MONDO:0004631	2992
MONDO:0002120	2623
MONDO:0017885	2576
MONDO:0100233	2306
MONDO:0007254	2188
MONDO:0009831	2148
MONDO:0005115	2103
MONDO:0005267	1957
MONDO:0012419	1701
MONDO:0005335	1608
MONDO:0004994	1285
MONDO:0005348	1270
MONDO:0007472	1239
MONDO:0019562	1074
MONDO:0002513	57
