Signatures	Published year	Journal	Title	PMID	DOI
CD_8_T_effector	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
DDR	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
APM	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
Immune_Checkpoint	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
CellCycle_Reg	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
Pan_F_TBRs	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
Histones	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
EMT1	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
EMT2	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
EMT3	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
WNT_target	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
FGFR3_related	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
Cell_cycle	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
Mismatch_Repair	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
Homologous_recombination	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
Nucleotide_excision_repair	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
DNA_replication	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
Base_excision_repair	2018	Nature	TGFβ attenuates tumour response to PD-L1 blockade by contributing to exclusion of T cells.	29443960	10.1038/nature25501
TMEscoreA_CIR	2019	Cancer Immunology Research	Tumor Microenvironment Characterization in Gastric Cancer Identifies Prognostic and Immunotherapeutically Relevant Gene Signatures	30842092	10.1158/2326-6066.CIR-18-0436
TMEscoreB_CIR	2019	Cancer Immunology Research	Tumor Microenvironment Characterization in Gastric Cancer Identifies Prognostic and Immunotherapeutically Relevant Gene Signatures	30842092	10.1158/2326-6066.CIR-18-0436
CD8_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
B_cells_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
Treg_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
Macrophages_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
Neutrophils_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
NK_cells_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
pDCs_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
MHC_Class_I_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
Co_stimulation_APC_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
Co_stimulation_T_cell_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
Co_inhibition_APC_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
Co_inhibition_T_cell_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
Type_I_IFN_Reponse_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
Type_II_IFN_Reponse_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
Cytolytic_Activity_Rooney_et_al	2015	Cell	Molecular and Genetic Properties of Tumors Associated with Local Immune Cytolytic Activity	25594174	10.1016/j.cell.2014.12.033
T_cell_inflamed_GEP_Ayers_et_al	2017	The Journal of Clinical Investigation	IFN-γ–related mRNA profile predicts clinical response to PD-1 blockade	28650338	10.1172/JCI91190
IFNG_signature_Ayers_et_al	2017	The Journal of Clinical Investigation	IFN-γ–related mRNA profile predicts clinical response to PD-1 blockade	28650338	10.1172/JCI91190
MDSC_Wang_et_al	2016	Canccer Discovery	Targeting YAP-Dependent MDSC Infiltration Impairs Tumor Progression	26701088	10.1158/2159-8290.CD-15-0224
GPAGs	2017	Nature	Mutual regulation of tumour vessel normalization and immunostimulatory reprogramming	28371798	10.1038/nature21724
PPAGs	2017	Nature	Mutual regulation of tumour vessel normalization and immunostimulatory reprogramming	28371798	10.1038/nature21724
B_cells_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
CD45_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
CD8_T_cells_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
Cytotoxic_cells_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
DC_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
Exhausted_CD8_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
Macrophages_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
Mast_cells_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
Neutrophils_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
NK_CD56dim_cells_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
NK_cells_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
T_cells_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
Th1_cells_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
Treg_Danaher_et_al	2017	Journal for ImmunoTherapy of Cancer	Gene expression markers of Tumor Infiltrating Leukocytes	28239471	10.1186/s40425-017-0215-8
Nature_metabolism_Hypoxia	2019	Nature Metabolism	Characterization of Hypoxia-associated Molecular Features to Aid Hypoxia-Targeted Therapy	31984309	10.1038/s42255-019-0045-8
Winter_hypoxia_signature	2007	Cancer Research	Relation of a Hypoxia Metagene Derived From Head and Neck Cancer to Prognosis of Multiple Cancers	17409455	10.1158/0008-5472.CAN-06-3322
Hu_hypoxia_signature	2019	Molecular Biology and Evolution	The Genome Landscape of Tibetan Sheep Reveals Adaptive Introgression From Argali and the History of Early Human Settlements on the Qinghai-Tibetan Plateau	30445533	10.1093/molbev/msy208
MT_exosome	2019	Molecular Therapy. Nucleic Acids	An EV-Associated Gene Signature Correlates with Hypoxic Microenvironment and Predicts Recurrence in Lung Adenocarcinoma	31473584	10.1016/j.omtn.2019.07.021
SR_exosome	2017	Scientific Reports	Genetic Mutation and Exosome Signature of Human Papilloma Virus Associated Oropharyngeal Cancer	28383029	10.1038/srep46102
EV_Cell_2020	2020	Cell	Extracellular Vesicle and Particle Biomarkers Define Multiple Human Cancers.	32795414	10.1016/j.cell.2020.07.009
MC_Review_Exosome1	2016	Molcular Cancer	Diagnostic, Prognostic and Predictive Value of Cell-Free miRNAs in Prostate Cancer: A Systematic Review	27189160	10.1186/s12943-016-0523-5
MC_Review_Exosome2	2016	Molcular Cancer	Clinical Relevance of Circulating Cell-Free microRNAs in Ovarian Cancer	27343009	10.1186/s12943-016-0536-0
CMLS_Review_Exosome	2018	Cellular and Molecular Life Sciences	Current knowledge on exosome biogenesis and release	28733901	10.1007/s00018-017-2595-9
Positive_regulation_of_exosomal_secretion	2020	Gene Ontology	http://geneontology.org/	NA	NA
Negative_regulation_of_exosomal_secretion	2020	Gene Ontology	http://geneontology.org/	NA	NA
Exosomal_secretion	2020	Gene Ontology	http://geneontology.org/	NA	NA
Exosome_assembly	2020	Gene Ontology	http://geneontology.org/	NA	NA
Extracellular_vesicle_biogenesis	2020	Gene Ontology	http://geneontology.org/	NA	NA
Molecular_Cancer_m6A	2020	Molecular Cancer	m6A regulator-mediated methylation modification patterns and tumor microenvironment infiltration characterization in gastric cancer	32164750	10.1186/s12943-020-01170-0
Ferroptosis	2020	IOBR	Constructed by IOBR organization after consulting literatures	NA	NA
MHC_Class_II	2020	IOBR	Constructed by IOBR organization after consulting literatures	NA	NA
MHC_Class_I	2020	IOBR	Constructed by IOBR organization after consulting literatures	NA	NA
HLA_signature_gene	2020	IOBR	Constructed by IOBR organization after consulting literatures	NA	NA
T_cell_accumulation_Peng_et_al	2018	Nature Medicine	Signatures of T cell dysfunction and exclusion predict cancer immunotherapy response	30127393	10.1038/s41591-018-0136-1
T_cell_exhaustion_Peng_et_al	2018	Nature Medicine	Signatures of T cell dysfunction and exclusion predict cancer immunotherapy response	30127393	10.1038/s41591-018-0136-1
T_cell_regulatory_Peng_et_al	2018	Nature Medicine	Signatures of T cell dysfunction and exclusion predict cancer immunotherapy response	30127393	10.1038/s41591-018-0136-1
ICB_resistance_Peng_et_al	2018	Nature Medicine	Signatures of T cell dysfunction and exclusion predict cancer immunotherapy response	30127393	10.1038/s41591-018-0136-1
MDSC_Peng_et_al	2018	Nature Medicine	Signatures of T cell dysfunction and exclusion predict cancer immunotherapy response	30127393	10.1038/s41591-018-0136-1
TAM_Peng_et_al	2018	Nature Medicine	Signatures of T cell dysfunction and exclusion predict cancer immunotherapy response	30127393	10.1038/s41591-018-0136-1
CAF_Peng_et_al	2018	Nature Medicine	Signatures of T cell dysfunction and exclusion predict cancer immunotherapy response	30127393	10.1038/s41591-018-0136-1
Antigen_Processing_and_Presentation_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
Antimicrobials_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
BCR_Signaling_Pathway_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
Chemokines_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
Chemokine_Receptors_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
Cytokines_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
Cytokine_Receptors_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
Interferons_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
Interferon_Receptor_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
Interleukins_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
Interleukins_Receptor_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
Natural_Killer_Cell_Cytotoxicity_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
TCR_signaling_Pathway_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
TGFb_Family_Member_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
TGFb_Family_Member_Receptor_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
TNF_Family_Members_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
TNF_Family_Members_Receptors_Li_et_al	2020	Nature Communication	Pan-cancer Characterization of Immune-Related lncRNAs Identifies Potential Oncogenic Biomarkers	32081859	10.1038/s41467-020-14802-2
CD8_T_cells_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Tgd_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Cytotoxic_cells_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
NK_cells_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
NK_CD56dim_cells_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
DC_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
iDC_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
aDC_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
pDC_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Eosinophils_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Macrophages_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Mast_cells_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Neutrophils_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
SW480_cancer_cells_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Normal_mucosa_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Blood_vessels_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
Lymph_vessels_Bindea_et_al	2013	Immunity	Spatio-temporal Dynamics of Intratumoral Immune Cells Reveal the Immune Landscape in Human Cancer	24138885	10.1016/j.immuni.2013.10.003
