Signatures,Genes
CD_8_T_effector,CD8A/GZMA/GZMB/IFNG/CXCL9/CXCL10/PRF1/TBX21
DDR,UNG/SMUG1/MBD4/OGG1/MUTYH/NTHL1/MPG/NEIL1/NEIL2/NEIL3/APEX1/APEX2/LIG3/XRCC1/PNKP/APLF/PARP1/PARP2/PARP3/MGMT/ALKBH2/ALKBH3/TDP1/TDP2/MSH2/MSH3/MSH6/MLH1/PMS2/MSH4/MSH5/MLH3/PMS1/XPC/RAD23B/CETN2/RAD23A/XPA/DDB1/DDB2/RPA1/RPA2/RPA3/ERCC3/ERCC2/GTF2H1/GTF2H2/GTF2H3/GTF2H4/GTF2H5/CDK7/CCNH/MNAT1/ERCC5/ERCC1/ERCC4/LIG1/ERCC8/ERCC6/UVSSA/XAB2/MMS19/RAD51/RAD51B/RAD51D/DMC1/XRCC2/XRCC3/RAD52/RAD54L/RAD54B/BRCA1/SHFM1/RAD50/MRE11A/NBN/RBBP8/MUS81/EME1/EME2/GEN1/FANCA/FANCB/FANCC/BRCA2/FANCD2/FANCE/FANCF/FANCG/FANCI/BRIP1/FANCL/FANCM/PALB2/RAD51C/XRCC6/XRCC5/PRKDC/LIG4/XRCC4/DCLRE1C/NHEJ1/NUDT1/DUT/RRM2B/POLB/POLG/POLD1/POLE/PCNA/REV3L/MAD2L2/POLH/POLI/POLQ/POLK/POLL/POLM/POLN/FEN1/FAN1/TREX1/EXO1/APTX/ENDOV/UBE2A/UBE2B/RAD18/SHPRH/HLTF/RNF168/SPRTN/RNF8/RNF4/UBE2V2/UBE2N/H2AFX/CHAF1A/SETMAR/BLM/WRN/RECQL4/ATM/DCLRE1A/DCLRE1B/RPA4/PRPF19/RECQL/RECQL5/HELQ/RDM1/ATR/ATRIP/MDC1/RAD1/RAD9A/HUS1/RAD17/CHEK1/CHEK2/TP53/TP53BP1/RIF1/TOPBP1/CLK2/PER1
APM,B2M/HLA-A/HLA-B/HLA-C/TAP1/TAP2
Immune_Checkpoint,CD274/PDCD1LG2/CTLA4/PDCD1/LAG3/HAVCR2/TIGIT
CellCycle_Reg,ATM/CDKN1A/CDKN2A/MDM2/TP53/CCND1/RB1/CCNE1/FBXW7/E2F3
Pan_F_TBRs,ACTA2/ACTG2/ADAM12/ADAM19/CNN1/COL4A1/CTGF/CTPS1/FAM101B/FSTL3/HSPB1/IGFBP3/PXDC1/SEMA7A/SH3PXD2A/TAGLN/TGFBI/TNS1/TPM1
Histones,HIST1H2AI/HIST1H2AG/HIST1H2BL/HIST2H2BF
EMT1,CLDN3/CLDN7/CLDN4/CDH1/VIM/TWIST1/ZEB1/ZEB2
EMT2,AXL/ROR2/WNT5A/LOXL2/TWIST2/TAGLN/FAP
EMT3,SOX9/TWIST1/FOXF1/ZEB1/ZEB2/GATA6
WNT_target,EFNB3/MYC/TCF12/VEGFA
FGFR3_related,FGFR3/TP63/WNT7B
