"","disease","GSE","Tissue"
"1","Metabolic Syndrome","GSE43760","Vastus lateralis muscle"
"2","Metabolic Syndrome","GSE23561","Peripheral blood"
"3","Acquired Immune Deficiency Syndrome","GSE4785","T cells"
"4","Acromegaly","GSE6351","Peripheral blood"
"5","Actinic Keratosis","GSE2503","Skin tissue"
"6","Acute Myocardial Infarction","GSE974","Left ventricular apex"
"7","Acute Myocardial Infarction","GSE29532","PBMC"
"8","Adult?T-Cell?Leukemia","GSE33615","PBMC"
"9","Adult?T-Cell?Leukemia","GSE10789","Monocytes"
"10","Adult Still¡¯s Disease","GSE113645","CD14+ monocyte"
"11","Aging","GSE1572","Frontal cortex"
"12","Alcoholic Hepatitis","GSE28619","Liver tissue"
"13","Alcohol Use Disorder","GSE53808","White matter"
"14","Allergic Rhinitis","GSE51392","Bronchial epithelial cell"
"15","Allergic Rhinitis","GSE51392","Nasal epithelial cell"
"16","Allergic Asthma","GSE104468","Bronchial epithelia"
"17","Allergic Asthma","GSE104468","Nasal epithelia"
"18","Allergic Asthma","GSE104468","PBMC"
"19","Allergic Asthma","GSE22528","Alveolar macrophage"
"20","Allergic Contact Dermatitis","GSE6281","Upper nates skin"
"21","Alopecia Areata(AA)","GSE45512","Scalp skin"
"22","Androgenetic?Alopecia","GSE90594","Scalp skin"
"23","Alpha-1 Antitrypsin Deficiency","GSE1122","Lung tissue"
"24","Alexander Disease","GSE116327","Brain tissue"
"25","Alzheimer Disease","GSE110226","Lateral ventricular choroid plexus"
"26","Alzheimer Disease","GSE109887","Middle temporal gyrus"
"27","Alzheimer Disease","GSE36980","Frontal cortex"
"28","Alzheimer Disease","GSE36980","Temporal cortex"
"29","Alzheimer Disease","GSE32645","Cortex"
"30","Alzheimer Disease","GSE26927","Entorhinal cortex"
"31","Alzheimer Disease","GSE18309","PBMC"
"32","Alzheimer Disease","GSE5281","Entorhinal cortex"
"33","Alzheimer Disease","GSE5281","Hippocampus"
"34","Alzheimer Disease","GSE5281","Medial temporal gyrus"
"35","Alzheimer Disease","GSE5281","Posterior cingulate"
"36","Alzheimer Disease","GSE5281","Superior frontal gyrus"
"37","Alzheimer Disease","GSE5281","Primary visual cortex"
"38","Alzheimer Disease","GSE4227","PBMC"
"39","Alzheimer Disease","GSE1297","Hippocampus"
"40","Alzheimer Disease","GSE36980","Hippocampus"
"41","Amyotrophic Lateral Sclerosis 1","GSE28253","Lymphocytes"
"42","Amyotrophic Lateral Sclerosis 1","GSE26927","Cervical spinal cord"
"43","Amyotrophic Lateral Sclerosis 1","GSE26276"," Skeletal muscle"
"44","Antiphospholipid Syndrome (APS)","GSE50395","Monocytes"
"45","Obstructive Sleep Apnea","GSE38792"," Visceral fat tissue"
"46","Obstructive Sleep Apnea","GSE135917","Subcutaneous fat tissue"
"47","Obstructive Sleep Apnea","GSE61463","PBMC"
"48","Appendicitis","GSE9579","Appendix"
"49","Arrhythmogenic Right Ventricular Cardiomyopathy","GSE29819","Left ventricular"
"50","Arrhythmogenic Right Ventricular Cardiomyopathy","GSE29819","Right ventricular"
"51","Aortic Atherosclerosis","GSE20129","PBMC"
"52","Aortic Valve Disease","GSE51472","Aortic valve"
"53","Abdominal Aortic Aneurysm","GSE57691","Abdominal aorta"
"54","Abdominal Aortic Aneurysm","GSE7084","Abdominal aorta"
"55","Asthma","GSE74075","Sputum"
"56","Asthma","GSE59019","PBMC"
"57","Asthma","GSE43696","Bronchial epithelia"
"58","Asthma","GSE35643","Bronchial airway smooth muscle"
"59","Asthma","GSE31773","CD4+ T cells"
"60","Asthma","GSE31773","CD4+ T cells"
"61","Asthma","GSE31773","CD8+ T cells"
"62","Asthma","GSE31773","CD8+ T cells"
"63","Asthma","GSE27335","Fibroblast"
"64","Autoimmune Hepatitis","GSE159676","Liver tissue"
"65","Autism Spectrum Disorder","GSE26415","Peripheral blood"
"66","Autosomal Recessive Congenital Ichthyosis","GSE107462","Skin tissue"
"67","Autosomal Dominant Polycystic Kidney Disease","GSE7869","Renal cysts"
"68","Autism","GSE25507","Lymphocytes"
"69","Ataxia Telangiectasia","GSE75852","iPSC"
"70","B-Cell Adult Acute Lymphocytic Leukemia","GSE76349","Bone marrow stem cell"
"71","Obesity","GSE474","Skeletal muscle"
"72","Obesity","GSE18897","Peripheral blood"
"73","Obesity","GSE9624","Adipose tissue"
"74","Bipolar Disorder","GSE12649","Cerebral Cortex"
"75","Bipolar Disorder","GSE53987","Hippocampus"
"76","Bipolar Disorder","GSE53987","Prefrontal cortex"
"77","Bipolar Disorder","GSE53987","Striatum"
"78","Bipolar Disorder","GSE12654","Cerebral Cortex"
"79","Bipolar Disorder","GSE7036","Lymphocytes"
"80","Bipolar Disorder","GSE5389","Orbitofrontal cortex"
"81","Bipolar Disorder","GSE5388","Dorsolateral prefrontal cortex"
"82","Burkitt Lymphoma","GSE9327","B cells"
"83","Barrett Esophagus","GSE1420","Esophageal tissue"
"84","Cockayne Syndrome","GSE111989","CS patient cell line"
"85","Cicatricial Pemphigoid","GSE77361","Conjunctiva tissue"
