MGI.symbol,HGNC.symbol
mt-Nd5,MT-ND5
mt-Nd4,MT-ND4
mt-Nd6,MT-ND6
mt-Cytb,MT-CYB
mt-Atp6,MT-ATP6
mt-Atp8,MT-ATP8
mt-Nd3,MT-ND3
mt-Nd4l,MT-ND4L
mt-Co1,MT-CO1
mt-Co2,MT-CO2
mt-Nd2,MT-ND2
mt-Nd1,MT-ND1
mt-Co3,MT-CO3
Tekt4,MAFIP
Hsfy2,HSFY2
Hsfy2,HSFY1
Pcdh11x,PCDH11Y
Dazl,DAZ4
Dazl,DAZ3
Dazl,DAZ1
Dazl,DAZ2
Uty,UTY
Tgif2lx2,TGIF2LY
Usp9y,USP9Y
Gm21708,RBMY1A1
Gm21708,RBMY1J
Gm21708,RBMY1B
Gm21708,RBMY1D
Gm21708,RBMY1F
Gm21708,RBMY1E
Gm21677,RBMY1A1
Gm21677,RBMY1J
Gm21677,RBMY1B
Gm21677,RBMY1D
Gm21677,RBMY1F
Gm21677,RBMY1E
Gm4064,RBMY1A1
Gm4064,RBMY1J
Gm4064,RBMY1B
Gm4064,RBMY1D
Gm4064,RBMY1F
Gm4064,RBMY1E
Tbl1x,TBL1Y
Gm25259,RNU2-57P
Gm29289,RBMY1A1
Gm29289,RBMY1J
Gm29289,RBMY1B
Gm29289,RBMY1D
Gm29289,RBMY1F
Gm29289,RBMY1E
Gm21704,RBMY1A1
Gm21704,RBMY1J
Gm21704,RBMY1B
Gm21704,RBMY1D
Gm21704,RBMY1F
Gm21704,RBMY1E
Gm10256,RBMY1A1
Gm10256,RBMY1J
Gm10256,RBMY1B
Gm10256,RBMY1D
Gm10256,RBMY1F
Gm10256,RBMY1E
Rbmy,RBMY1A1
Rbmy,RBMY1J
Rbmy,RBMY1B
Rbmy,RBMY1D
Rbmy,RBMY1F
Rbmy,RBMY1E
Kdm5d,KDM5D
Gm10352,RBMY1A1
Gm10352,RBMY1J
Gm10352,RBMY1B
Gm10352,RBMY1D
Gm10352,RBMY1F
Gm10352,RBMY1E
Tgif2lx1,TGIF2LY
Gm3376,RBMY1A1
Gm3376,RBMY1J
Gm3376,RBMY1B
Gm3376,RBMY1D
Gm3376,RBMY1F
Gm3376,RBMY1E
Zfx,ZFY
Ddx3y,DDX3Y
Tmsb4x,TMSB4Y
Sry,SRY
Gm21693,RBMY1A1
Gm21693,RBMY1J
Gm21693,RBMY1B
Gm21693,RBMY1D
Gm21693,RBMY1F
Gm21693,RBMY1E
Mmp11,MMP11
Adgra3,ADGRA3
Cryaa,CRYAA
Lama5,LAMA5
Tff1,TFF1
Foxa1,FOXA1
Rcl1,RCL1
Prex1,PREX1
Ptpn2,PTPN2
Dnmt3l,DNMT3L
Igsf1,IGSF1
Exoc1,EXOC1
Pigp,PIGP
Prpf39,PRPF39
Impact,IMPACT
Cnksr2,CNKSR2
Fgd1,FGD1
Isca2,ISCA2
2700062C07Rik,C18orf21
Zfp64,ZFP64
Psapl1,PSAPL1
Ero1a,ERO1A
Rprd1b,RPRD1B
Dyrk1a,DYRK1A
Rmc1,RMC1
Cxadr,CXADR
Catsperb,CATSPERB
Pcnx4,PCNX4
Kin,KIN
Gata5,GATA5
Gtse1,GTSE1
Isx,ISX
Slc16a2,SLC16A2
Lrrc9,LRRC9
Sh3bgr,GET1-SH3BGR
Bpifb1,BPIFB1
Tcl1b5,TCL1B
Fundc2,FUNDC2
Mrc1,MRC1
Grap2,GRAP2
Akap11,AKAP11
Slc23a2,SLC23A2
Psmg1,PSMG1
Ttll12,TTLL12
Sdc4,SDC4
Me2,ME2
Fkbp3,FKBP3
Rock1,ROCK1
Bpifa1,BPIFA1
Rab39b,RAB39B
N6amt1,N6AMT1
Fam114a1,FAM114A1
Usp12,USP12
Usp16,USP16
Ppp6r2,PPP6R2
Sstr1,SSTR1
Rnf4,RNF4
Fam118a,FAM118A
Hrh4,HRH4
Ndp,NDP
Awat2,AWAT2
Garem1,GAREM1
Dstn,DSTN
Shld1,SHLD1
Glra2,GLRA2
1700021F07Rik,C20orf85
Slc9a7,SLC9A7
Kcnk15,KCNK15
Ptpn21,PTPN21
Pwwp3b,PWWP3B
Stk32b,STK32B
Aptx,APTX
Grpr,GRPR
Tceal9,TCEAL9
Tmprss15,TMPRSS15
Donson,DONSON
Gga1,GGA1
Zcchc13,ZCCHC13
Pi4ka,PI4KA
Syngr1,SYNGR1
Btg3,BTG3
Hspa13,HSPA13
Ednrb,EDNRB
Dzank1,DZANK1
Ss18,SS18
Pim3,PIM3
Stx16,STX16
Stx16,STX16-NPEPL1
Rax,RAX
Btbd7,BTBD7
Cst9,CST9L
Psmc6,PSMC6
Peli2,PELI2
Uhrf2,UHRF2
Klhl1,KLHL1
Xpnpep3,XPNPEP3
Cpz,CPZ
Dct,DCT
Mbp,MBP
Rwdd2b,RWDD2B
Ss18l1,SS18L1
Zfp512b,ZNF512B
Zfp54,ZNF519
Synj1,SYNJ1
Sh3gl2,SH3GL2
Usp11,USP11
Rbm17,RBM17
Acaa2,ACAA2
Atxn10,ATXN10
Tnfrsf11a,TNFRSF11A
Apmap,APMAP
Xrn2,XRN2
Cdc123,CDC123
Cfap61,CFAP61
Plgrkt,PLGRKT
Slc37a1,SLC37A1
Pygb,PYGB
Dtd2,DTD2
Sik1,SIK1B
Sik1,SIK1
Polr3f,POLR3F
Meig1,MEIG1
Ctps2,CTPS2
Tmem50b,TMEM50B
Slc35c2,SLC35C2
Dnajc28,DNAJC28
Slc14a2,SLC14A2
Myo5b,MYO5B
Mapre2,MAPRE2
Zfp518b,ZNF518B
Slc2a10,SLC2A10
Col18a1,COL18A1
Ppargc1a,PPARGC1A
Psma7,PSMA7
Ralbp1,RALBP1
Adamts1,ADAMTS1
Efhc2,EFHC2
Dcaf4,DCAF4
Tfap2c,TFAP2C
Awat1,AWAT1
Ociad2,OCIAD2
Rnf17,RNF17
Tex13b,TEX13B
Magee2,MAGEE2
Acbd7,ACBD7
Tst,TST
Ttc3,TTC3
Ccna1,CCNA1
Dynlt3,DYNLT3
Rfc3,RFC3
Myt1,MYT1
Plpp6,PLPP6
Colec12,COLEC12
Pspc1,PSPC1
Slc10a1,SLC10A1
Limk2,LIMK2
Cst3,CST3
Ctnnbl1,CTNNBL1
Ccdc117,CCDC117
Trp53inp2,TP53INP2
Phf20,PHF20
Tmem63c,TMEM63C
Epg5,EPG5
Pmaip1,PMAIP1
Rbl1,RBL1
Susd6,SUSD6
Stk4,STK4
Crlf2,CRLF2
Txlng,TXLNG
Trappc10,TRAPPC10
Slc35f4,SLC35F4
Atp9a,ATP9A
Adrm1,ADRM1
Pgrmc1,PGRMC1
Dhrs7,DHRS7
Fermt2,FERMT2
Cipc,CIPC
Rps4x,RPS4X
AW554918,KIAA1328
Snai1,SNAI1
Fbxo15,FBXO15
Phyh,PHYH
Amelx,AMELX
Ets2,ETS2
Bach1,BACH1
Togaram1,TOGARAM1
Radx,RADX
Ndufv2,NDUFV2
Lrch2,LRCH2
Adra2c,ADRA2C
Cd93,CD93
Ncoa3,NCOA3
Nol12,NOL12
Slc1a1,SLC1A1
Chgb,CHGB
Ttc39b,TTC39B
Elfn2,ELFN2
Cbs,CBS
Fgf16,FGF16
Fndc3a,FNDC3A
Itih5,ITIH5
Rnf125,RNF125
Tbc1d25,TBC1D25
Pcmtd2,PCMTD2
Cdk5rap1,CDK5RAP1
Efnb1,EFNB1
Sptlc3,SPTLC3
Bex3,BEX3
Clic6,CLIC6
Grpel1,GRPEL1
Oprl1,OPRL1
Slc25a17,SLC25A17
Tmx4,TMX4
Sh3bgrl,SH3BGRL
Clcn5,CLCN5
D630003M21Rik,KIAA1755
Akr1e1,AKR1E2
Tbx22,TBX22
Eva1c,EVA1C
Cdh4,CDH4
Grp,GRP
Card10,CARD10
Mrps6,MRPS6
Rbm11,RBM11
Rbm25,RBM25
Klhl4,KLHL4
Rps6ka6,RPS6KA6
Tgm2,TGM2
Il15ra,IL15RA
Rps21,RPS21
Hsf2bp,HSF2BP
Son,SON
Tmprss3,TMPRSS3
Six6,SIX6
Fam207a,SLX9
Hdx,HDX
Pbdc1,PBDC1
Unc79,UNC79
Lmo7,LMO7
Phf21b,PHF21B
Igbp1,IGBP1
Cnmd,CNMD
2610028H24Rik,C21orf58
Ppp2r5e,PPP2R5E
Gid8,GID8
Ankrd60,ANKRD60
Fbln1,FBLN1
Nfx1,NFX1
Pcsk2,PCSK2
Il13ra2,IL13RA2
Dcaf12l1,DCAF12L2
Tgds,TGDS
Pdcd1lg2,PDCD1LG2
Ids,IDS
Pnpla3,PNPLA3
Suv39h2,SUV39H2
Zcchc2,ZCCHC2
Eif4enif1,EIF4ENIF1
Cdkl5,CDKL5
Cdx2,CDX2
Runx1,RUNX1
Mindy3,MINDY3
Cdh2,CDH2
Cryl1,CRYL1
Dsg4,DSG4
Pomp,POMP
Nfatc2,NFATC2
Tmem230,TMEM230
Spo11,SPO11
Tsc22d1,TSC22D1
Slc25a43,SLC25A43
Gpcpd1,GPCPD1
Dcaf8l,DCAF8L1
Tomm34,TOMM34
Was,WAS
Prdm15,PRDM15
Gabpa,GABPA
Vbp1,VBP1
Ncoa6,NCOA6
Efcab6,EFCAB6
Ppm1a,PPM1A
Smc1b,SMC1B
Eda2r,EDA2R
Mia2,CTAGE1
Pttg1,PTTG2
Asb12,ASB12
Lif,LIF
Mipep,MIPEP
Bik,BIK
Mis18a,MIS18A
Slc5a1,SLC5A1
Pla2g6,PLA2G6
Fgf13,FGF13
Lsm14b,LSM14B
Pacsin2,PACSIN2
4932438H23Rik,C21orf62
Tti1,TTI1
Il2ra,IL2RA
Txndc16,TXNDC16
4930415L06Rik,PPP4R3C
Edn3,EDN3
Cndp2,CNDP2
Jade3,JADE3
Tfe3,TFE3
Gdf5,GDF5
Tmem215,TMEM215
Znrf3,ZNRF3
Rae1,RAE1
Ttc38,TTC38
Pds5a,PDS5A
Commd8,COMMD8
Ripply3,RIPPLY3
Fgfrl1,FGFRL1
Prr32,PRR32
Vps26c,VPS26C
Aire,AIRE
Slx4ip,SLX4IP
Itih2,ITIH2
Mnat1,MNAT1
Rnf128,RNF128
Il17ra,IL17RA
Map1lc3a,MAP1LC3A
Gart,GART
Syt4,SYT4
Ap5m1,AP5M1
Serpinb8,SERPINB8
Snta1,SNTA1
Atp5c1,ATP5F1C
Wdr19,WDR19
Rbm3,RBM3
Bhlhe23,BHLHE23
Tecpr2,TECPR2
Pstpip2,PSTPIP2
Fam83d,FAM83D
Lhfpl1,LHFPL1
Katnal1,KATNAL1
Nhlrc3,NHLRC3
Cct8l1,CCT8L2
Wasf3,WASF3
Atp5o,ATP5PO
Mtcp1,MTCP1
Hao1,HAO1
Maob,MAOB
Alg13,ALG13
Nop56,NOP56
Idua,IDUA
Tspo,TSPO
Rbbp8,RBBP8
Sumo3,SUMO3
Maged2,MAGED2
Magea13,MAGEC2
Magea13,MAGEC3
Magea13,MAGEA8
Magea13,MAGEA11
Magea13,MAGEC1
Armh4,ARMH4
Defb22,DEFB127
Defb22,DEFB121
Ccdc175,CCDC175
Ncam2,NCAM2
Cyyr1,CYYR1
Mageb16,MAGEB16
Riox1,RIOX1
Fos,FOS
Parvg,PARVG
Atp5e,ATP5F1E
Trdmt1,TRDMT1
Sephs1,SEPHS1
Hccs,HCCS
Cdh26,CDH26
Tec,TEC
Lbp,LBP
Ttc6,TTC6
Nubpl,NUBPL
Ttll1,TTLL1
Cep250,CEP250
Ywhab,YWHAB
Pdgfb,PDGFB
Ribc2,RIBC2
Zbtb21,ZBTB21
Pdha1,PDHA1
Sec61a2,SEC61A2
Arhgef6,ARHGEF6
Ndrg3,NDRG3
Dok5,DOK5
Nrde2,NRDE2
Tmem30b,TMEM30B
Maff,MAFF
Pknox1,PKNOX1
Defb36,DEFB123
Icosl,ICOSLG
Abcg1,ABCG1
Itm2a,ITM2A
Mc2r,MC2R
Hdhd2,HDHD2
Cplx1,CPLX1
Alg12,ALG12
Pfkfb1,PFKFB1
Scml2,SCML2
Tpgs2,TPGS2
Bora,BORA
Rbx1,RBX1
Yy1,YY1
Samsn1,SAMSN1
Rbbp9,RBBP9
Naa30,NAA30
Ccdc68,CCDC68
Kdelr3,KDELR3
Ankrd9,ANKRD9
Tmem47,TMEM47
Npc1,NPC1
Cdh7,CDH7
Ucn3,UCN3
Nudt5,NUDT5
Rps6ka5,RPS6KA5
Kcnj6,KCNJ6
Slc39a6,SLC39A6
Tceal6,TCEAL5
Nox1,NOX1
Reps2,REPS2
Ada,ADA
Acss2,ACSS2
Ifngr2,IFNGR2
Samd10,SAMD10
Mocos,MOCOS
Defb29,DEFB116
Sh3kbp1,SH3KBP1
Inpp5j,INPP5J
Zfp521,ZNF521
Clock,CLOCK
Aff2,AFF2
Samm50,SAMM50
Kctd1,KCTD1
Hmgn5,HMGN5
Twsg1,TWSG1
Ipo5,IPO5
Ripk4,RIPK4
Ankrd12,ANKRD12
Kcne2,KCNE2
Cst10,CST3
Srsf5,SRSF5
Nova1,NOVA1
Npepl1,NPEPL1
Cd40lg,CD40LG
Ndufv3,NDUFV3
Tbc1d19,TBC1D19
Bfsp1,BFSP1
Rspo4,RSPO4
Snrpb2,SNRPB2
Fam83f,FAM83F
Htr2c,HTR2C
Frmd4a,FRMD4A
Hormad2,HORMAD2
Bod1,BOD1L2
Olfm4,OLFM4
Nelfcd,NELFCD
Ggt1,GGTLC1
Ggt1,GGT2
Ggt1,GGTLC3
Lingo2,LINGO2
Gtf3a,GTF3A
Tubal3,TUBAL3
Gins1,GINS1
Mospd1,MOSPD1
Diaph3,DIAPH3
Rnf165,RNF165
Hsph1,HSPH1
Apbb2,APBB2
Pabpc5,PABPC5
Ldb2,LDB2
Wdr13,WDR13
Pcnx,PCNX1
Arhgap6,ARHGAP6
Tubb1,TUBB1
Adamts5,ADAMTS5
Ubac2,UBAC2
Cerk,CERK
Crls1,CRLS1
Cstb,CSTB
Rgs6,RGS6
Arl5b,ARL5B
Nr0b1,NR0B1
Mpped1,MPPED1
Dip2a,DIP2A
Sohlh2,SOHLH2
Sohlh2,CCDC169-SOHLH2
Depdc5,DEPDC5
Pik3ip1,PIK3IP1
Scaf4,SCAF4
Kif4,KIF4A
Dmrta1,DMRTA1
Sun5,SUN5
Bpifa2,BPIFA2
Chaf1b,CHAF1B
Cdc37l1,CDC37L1
Gtpbp6,GTPBP6
Jdp2,JDP2
Ska1,SKA1
Ube2g2,UBE2G2
Uspl1,USPL1
Haus1,HAUS1
Slit2,SLIT2
Paxbp1,PAXBP1
Pvalb,PVALB
Nkx2-2,NKX2-2
Chodl,CHODL
Itsn1,ITSN1
Slc7a3,SLC7A3
Angpt4,ANGPT4
Glrx5,GLRX5
Rbbp8nl,RBBP8NL
Slitrk4,SLITRK4
Pcnt,PCNT
Ggt7,GGT7
Itgb2,ITGB2
Tsr2,TSR2
F8,F8
Zdhhc15,ZDHHC15
Rtraf,RTRAF
Fut8,FUT8
Gabrb1,GABRB1
Pias2,PIAS2
Mapk4,MAPK4
Prelid3b,PRELID3B
Syap1,SYAP1
D16Ertd472e,C21orf91
Elmo2,ELMO2
Poln,POLN
Tff2,TFF2
Rab22a,RAB22A
Klf6,KLF6
Bace2,BACE2
Il13ra1,IL13RA1
Bpifa5,BPIFA1
Cbr3,CBR3
Pdxk,PDXK
Cubn,CUBN
B4galt5,B4GALT5
Trmt44,TRMT44
S100g,S100G
Rgs19,RGS19
Csnk1e,TPTEP2-CSNK1E
Csnk1e,CSNK1E
9930021J03Rik,KIAA2026
Ddhd1,DDHD1
Uqcc1,UQCC1
S100b,S100B
Morc4,MORC4
Vgll1,VGLL1
Cplx4,CPLX4
Smox,SMOX
Mzt1,MZT1
Spon2,SPON2
Idh3b,IDH3B
Sec11c,SEC11C
Rai2,RAI2
Kpna3,KPNA3
Triobp,TRIOBP
Rab27b,RAB27B
Adra1d,ADRA1D
Ptger2,PTGER2
Med15,MED15
Klhl14,KLHL14
Col6a2,COL6A2
Trmt5,TRMT5
Xk,XK
Mbtps2,MBTPS2
Trmt6,TRMT6
Ptchd1,PTCHD1
Yes1,YES1
Nup50,NUP50
Slc25a21,SLC25A21
Ybey,YBEY
Postn,POSTN
Tceal3,TCEAL5
Cab39l,CAB39L
Brwd1,BRWD1
Ltbp2,LTBP2
Ascc2,ASCC2
Upk3a,UPK3A
Phka1,PHKA1
Entpd6,ENTPD6
Sox18,SOX18
Atp6ap2,ATP6AP2
Kif3b,KIF3B
Gabra3,GABRA3
Pan3,PAN3
Ttc39c,TTC39C
Shroom2,SHROOM2
